name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
VoloshinS/react-studying,89,50,26,19,242,2,1.3057851239669422,1.2644628099173554,8,2.5,1.25,1.0702479338842976,1.0661157024793388,1.125,1.0
undecidables/COSBAS-Server,775,746,108,173,413,8,4.7941888619854724,1.6053268765133173,121,13.305785123966942,2.4214876033057853,1.4334140435835352,1.1016949152542372,2.396694214876033,1.2644628099173554
Shaked/dotfiles,43,43,40,3,27,1,2.962962962962963,2.814814814814815,3,9.666666666666666,8.333333333333334,1.0,1.0,1.0,1.0
AKSW/AnnotationClient,127,127,105,15,15,5,10.6,9.2,3,46.666666666666664,39.666666666666664,1.4666666666666666,1.4,3.3333333333333335,3.0
0P618/Commonweal,587,587,362,95,705,7,4.148936170212766,3.0609929078014186,196,11.061224489795919,7.1479591836734695,1.6411347517730497,1.5290780141843971,2.913265306122449,2.510204081632653
ciromattia/kcc,934,934,435,81,68,12,29.529411764705884,5.602941176470588,41,48.146341463414636,8.463414634146341,1.9705882352941178,1.3823529411764706,2.5365853658536586,1.5609756097560976
tomtom/tlib_vim,502,502,501,1,84,5,9.345238095238095,9.333333333333334,1,15.0,14.0,1.5833333333333333,1.5714285714285714,3.0,2.0
bigbrush/yii2-bigcms,118,118,118,0,68,1,1.838235294117647,1.838235294117647,0,0.0,0.0,1.0,1.0,NaN,NaN
jechiy/cc,34,10,10,0,73,1,1.1232876712328768,1.1232876712328768,0,0.0,0.0,1.0,1.0,NaN,NaN
Cilicou/Water-Stuff-Pack,2,2,2,0,17,1,1.0588235294117647,1.0588235294117647,0,0.0,0.0,1.0,1.0,NaN,NaN
npmcomponent/jashkenas-underscore,1411,1411,861,362,40,187,44.75,27.6,21,83.04761904761905,50.38095238095238,9.65,3.125,17.238095238095237,4.809523809523809
dailyscript/dbkm,214,214,203,9,461,2,2.4663774403470717,2.459869848156182,1,12.0,9.0,1.002169197396963,1.0,2.0,1.0
jaunva1312/coursera-test,6,3,3,0,2,2,1.5,1.5,0,0.0,0.0,1.0,1.0,NaN,NaN
xinghenese/s-o-c-k-e-t,36,3,3,0,137,2,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
rippo/swagolicious,45,45,44,1,83,1,2.63855421686747,2.6265060240963853,1,3.0,2.0,1.0,1.0,1.0,1.0
CvO-Theory/apt,1377,1302,1279,9,1020,15,5.106862745098039,5.050980392156863,52,17.96153846153846,16.865384615384617,2.1480392156862744,2.1254901960784314,3.6346153846153846,3.1923076923076925
